f_target,seed,beta,seed_fraction,unserved_fraction,detonated,run_id
0.1,1048,0.3,0.05,0.0,True,f3da5567
0.1,1049,0.3,0.05,0.3637065637065636,True,60fd6bbb
0.1,1050,0.3,0.05,0.02355212355212355,True,1b045a72
0.1,1051,0.3,0.05,1.0,True,d3816c82
0.1,1052,0.3,0.05,0.0,True,d07f1e0d
0.1,1053,0.3,0.05,0.0,True,10989ccf
0.1,1054,0.3,0.05,1.0,True,a0aefcdd
0.1,1055,0.3,0.05,1.0,True,31e5be57
0.1,1056,0.3,0.05,1.0,True,0aa2ddae
0.1,1057,0.3,0.05,0.0,True,1b9ed5c4
0.1,1058,0.3,0.05,0.0,True,dc84b3b9
0.1,1059,0.3,0.05,1.0,True,ce7b5c47
0.2,1000,0.3,0.05,0.0,True,5316ec01
0.2,1001,0.3,0.05,0.0,True,8d91613f
0.2,1002,0.3,0.05,0.0,True,a8fc992a
0.2,1003,0.3,0.05,0.3637065637065636,True,fdc56670
0.2,1004,0.3,0.05,0.0,True,f336f328
0.2,1005,0.3,0.05,0.3637065637065636,True,ad0d309b
0.2,1006,0.3,0.05,0.02355212355212355,True,0af665ec
0.2,1007,0.3,0.05,0.0,True,4821334c
0.2,1008,0.3,0.05,0.0,True,37a1640a
0.2,1009,0.3,0.05,0.0,True,9d778689
0.2,1010,0.3,0.05,0.3637065637065636,True,bca00493
0.2,1011,0.3,0.05,0.0,True,20155335
0.2,1012,0.3,0.05,0.0,True,184b3beb
0.2,1013,0.3,0.05,0.0,True,ffce5019
0.2,1014,0.3,0.05,0.0,True,efc206e5
0.2,1015,0.3,0.05,1.0,True,5feb06b2
0.2,1016,0.3,0.05,0.02355212355212355,True,cee35b5b
0.2,1017,0.3,0.05,0.3637065637065636,True,5b70c44e
0.2,1018,0.3,0.05,0.0,True,18779b09
0.2,1019,0.3,0.05,1.0,True,23fd5df4
0.2,1020,0.3,0.05,1.0,True,e5870e39
0.2,1021,0.3,0.05,0.0,True,6a336683
0.2,1022,0.3,0.05,0.0,True,a256023b
0.2,1023,0.3,0.05,0.3637065637065636,True,bd1d7bf2
0.2,1024,0.3,0.05,0.0,True,5dc88f08
0.2,1025,0.3,0.05,1.0,True,91d22b7c
0.2,1026,0.3,0.05,1.0,True,2768add9
0.2,1027,0.3,0.05,1.0,True,771879f0
0.2,1028,0.3,0.05,0.3637065637065636,True,cef444c0
0.2,1029,0.3,0.05,0.0,True,a39752ff
0.2,1030,0.3,0.05,1.0,True,61d9999b
0.2,1031,0.3,0.05,0.0,True,9f03ce4c
0.2,1032,0.3,0.05,0.0,True,452fa467
0.2,1033,0.3,0.05,0.3637065637065636,True,c4141268
0.2,1034,0.3,0.05,0.02355212355212355,True,30375b31
0.2,1035,0.3,0.05,0.0,True,633758da
0.2,1036,0.3,0.05,0.0,True,b02d3154
0.2,1037,0.3,0.05,1.0,True,665e9cdd
0.2,1038,0.3,0.05,1.0,True,f719b1d1
0.2,1039,0.3,0.05,0.3637065637065636,True,394c3551
0.2,1040,0.3,0.05,0.0,True,a338dbb2
0.2,1041,0.3,0.05,0.3637065637065636,True,7fb5a17a
0.2,1042,0.3,0.05,1.0,True,894689f6
0.2,1043,0.3,0.05,1.0,True,89a5a58b
0.2,1044,0.3,0.05,0.02355212355212355,True,e2fd04fd
0.2,1045,0.3,0.05,0.0,True,d0fcdfc4
0.2,1046,0.3,0.05,0.3637065637065636,True,499a4526
0.2,1047,0.3,0.05,1.0,True,ac417c1f
0.2,1048,0.3,0.05,0.0,True,7ae038e0
0.2,1049,0.3,0.05,0.3637065637065636,True,220754b2
0.2,1050,0.3,0.05,0.02355212355212355,True,bf47ae26
0.2,1051,0.3,0.05,1.0,True,0343315b
0.2,1052,0.3,0.05,0.0,True,ac03363d
0.2,1053,0.3,0.05,0.02355212355212355,True,9e21eb71
0.2,1054,0.3,0.05,1.0,True,cb16753a
0.2,1055,0.3,0.05,1.0,True,9cfae634
0.2,1056,0.3,0.05,1.0,True,f015f4a8
0.2,1057,0.3,0.05,0.0,True,d1d6cdf1
0.2,1058,0.3,0.05,0.0,True,98bfe1f9
0.2,1059,0.3,0.05,1.0,True,72c31f54
0.3,1000,0.3,0.05,0.02355212355212355,True,46500ee0
0.3,1001,0.3,0.05,0.02355212355212355,True,2dcb06da
0.3,1002,0.3,0.05,1.0,True,1c6052f2
0.3,1003,0.3,0.05,0.3637065637065636,True,0ddcaa54
0.3,1004,0.3,0.05,0.013513513513513487,True,749e763a
0.3,1005,0.3,0.05,0.3637065637065636,True,55aebf7c
0.3,1006,0.3,0.05,0.07181467181467183,True,6009fdae
0.3,1007,0.3,0.05,0.07181467181467183,True,1ef5499d
0.3,1008,0.3,0.05,0.3637065637065636,True,6490e297
0.3,1009,0.3,0.05,1.0,True,8549d6f4
0.3,1010,0.3,0.05,0.3637065637065636,True,a556e942
0.3,1011,0.3,0.05,0.07181467181467183,True,d3e6efb9
0.3,1012,0.3,0.05,0.013513513513513487,True,e1ef0248
0.3,1013,0.3,0.05,1.0,True,491e0574
0.3,1014,0.3,0.05,1.0,True,87de3f19
0.3,1015,0.3,0.05,1.0,True,fff36770
0.3,1016,0.3,0.05,0.02355212355212355,True,09a2de83
0.3,1017,0.3,0.05,0.3637065637065636,True,5f4d5308
0.3,1018,0.3,0.05,0.013513513513513487,True,052c3bf5
0.3,1019,0.3,0.05,1.0,True,af00b218
0.3,1020,0.3,0.05,1.0,True,af426d00
0.3,1021,0.3,0.05,0.3637065637065636,True,b6e1d20c
0.3,1022,0.3,0.05,0.07181467181467183,True,b7308eb3
0.3,1023,0.3,0.05,0.3637065637065636,True,653d1440
0.3,1024,0.3,0.05,0.02355212355212355,True,60e117a2
0.3,1025,0.3,0.05,1.0,True,b6b2c1ad
0.3,1026,0.3,0.05,1.0,True,4e1712a2
0.3,1027,0.3,0.05,1.0,True,22c8346d
0.3,1028,0.3,0.05,0.3637065637065636,True,60458170
0.3,1029,0.3,0.05,1.0,True,a5a91019
0.3,1030,0.3,0.05,1.0,True,abbfa5a8
0.3,1031,0.3,0.05,0.013513513513513487,True,32a53435
0.3,1032,0.3,0.05,0.0,True,6f1d8749
0.3,1033,0.3,0.05,0.3637065637065636,True,a0723d11
0.3,1034,0.3,0.05,0.02355212355212355,True,d84a7b9e
0.3,1035,0.3,0.05,0.02355212355212355,True,5ce099c9
0.3,1036,0.3,0.05,0.013513513513513487,True,3e585d3c
0.3,1037,0.3,0.05,1.0,True,78448bdb
0.3,1038,0.3,0.05,1.0,True,1e1e2b9b
0.3,1039,0.3,0.05,0.3637065637065636,True,626f23a3
0.3,1040,0.3,0.05,0.0,True,3974ebca
0.3,1041,0.3,0.05,0.3637065637065636,True,4b9230fe
0.3,1042,0.3,0.05,1.0,True,30fffe01
0.3,1043,0.3,0.05,1.0,True,11760b22
0.3,1044,0.3,0.05,0.07181467181467183,True,dcce2ccc
0.3,1045,0.3,0.05,0.3637065637065636,True,d2475d42
0.3,1046,0.3,0.05,0.3637065637065636,True,7a2099a3
0.3,1047,0.3,0.05,1.0,True,ab8ebcec
0.3,1048,0.3,0.05,0.3637065637065636,True,950bc53e
0.3,1049,0.3,0.05,0.3637065637065636,True,3a77b6dc
0.3,1050,0.3,0.05,0.02355212355212355,True,45fdf5a9
0.3,1051,0.3,0.05,1.0,True,dd7f6d32
0.3,1052,0.3,0.05,1.0,True,cfc9783b
0.3,1053,0.3,0.05,0.02355212355212355,True,92c9c67c
0.3,1054,0.3,0.05,1.0,True,defbdbf7
0.3,1055,0.3,0.05,1.0,True,1b63c67f
0.3,1056,0.3,0.05,1.0,True,6591a325
0.3,1057,0.3,0.05,0.07181467181467183,True,75697be7
0.3,1058,0.3,0.05,0.3637065637065636,True,2405a143
0.3,1059,0.3,0.05,1.0,True,04ca29d7
0.4,1000,0.3,0.05,0.07181467181467183,True,dcbc9891
